fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.055186763,0.2289505,0.9717345,0.0,0.0,0.0022373013,0.0029830683,0.0,0.0,0.0,0.0,0.0,0.01566111,0.0029830683,0.0,0.0,0.09885598,0.023413258,0.13787808,0.22242595,0.25754583,0.4552578,0.28356057,0.75312644,0.04383018,0.0059768427,0.10559089,0.18627825,0.12053299,0.12352141,0.18030141,0.94334495,Yellow
0.087947614,0.99562067,0.026854232,0.0,0.0,0.0,0.0046994905,0.0,0.0006713558,0.0,0.0,0.0046994905,0.01275576,0.0,0.0,0.008727626,0.115149006,0.20908636,0.5727148,0.498474,0.39544594,0.293933,0.21060148,0.28181204,0.123914,0.110589914,0.17721035,0.26648173,0.21984743,0.21984743,0.33576697,0.8127693,Gold
0.06294125,0.20418736,0.9768284,0.0,0.0,0.0009912008,0.0014868012,0.0,0.0,0.0,0.0,0.0014868012,0.005947205,0.010407608,0.0014868012,0.0009912008,0.05612735,0.018926665,0.060695857,0.06787494,0.095938616,0.14162366,0.29238433,0.9345857,0.08021366,0.024781454,0.112820834,0.14281943,0.10108225,0.08934367,0.15847088,0.95734674,Yellow
0.19466528,0.92962605,0.13904662,0.025822945,0.040720798,0.017877424,0.07945522,0.09733264,0.19565848,0.12911473,0.061577793,0.022843376,0.009931902,0.003972761,0.026816135,0.005959141,0.9305808,0.26986843,0.20726572,0.08290628,0.076984406,0.043991093,0.019457597,0.055834845,0.28769422,0.182289,0.22817127,0.29513457,0.43278137,0.7068349,0.1599679,0.17980888,Gray
0.106756404,0.3832281,0.05109708,0.01277427,0.004562239,0.0018248957,0.007299583,0.0027373435,0.016424062,0.8686504,0.28650862,0.036497913,0.018248957,0.006387135,0.010036927,0.01277427,0.38493598,0.37210476,0.2129979,0.19118486,0.24892525,0.22197974,0.2643227,0.6710717,0.26640725,0.17850637,0.23530385,0.33267096,0.35566044,0.47331235,0.49224484,0.37188828,Blue
0.08280419,0.98825,0.12780647,0.0,0.0,0.00060003035,0.003600182,0.00060003035,0.00060003035,0.0,0.0,0.009600486,0.0078003947,0.00060003035,0.00060003035,0.001800091,0.14854163,0.17901172,0.59162736,0.41896358,0.39738062,0.26026526,0.20440345,0.39103267,0.22463712,0.13168383,0.18258682,0.22242394,0.18258682,0.20803832,0.27000716,0.8365796,Gold
0.13360363,0.43636668,0.30922773,0.16592708,0.17239177,0.24781318,0.75960124,0.003232346,0.003232346,0.003232346,0.005387243,0.012929384,0.015084281,0.0,0.0010774486,0.0,0.19787546,0.42658865,0.3649132,0.35077924,0.38290188,0.25826603,0.2094396,0.51524717,0.49120802,0.3702953,0.3400671,0.5189172,0.25316104,0.15114093,0.19144517,0.33628857,Green
0.06296295,0.5438425,0.8366202,0.0023611106,0.0,0.0,0.0039351843,0.0,0.0015740738,0.0007870369,0.0007870369,0.006296295,0.016527776,0.0,0.0,0.0,0.08175702,0.0012387427,0.18209518,0.27623963,0.30101448,0.46328977,0.3332218,0.683786,0.07891108,0.03353721,0.13217606,0.15683578,0.11738024,0.14105356,0.27125683,0.91832775,Yellow
0.09741882,0.205936,0.08262103,0.034528192,0.011098347,0.0061657485,0.009865197,0.030828742,0.18250614,0.94952524,0.054258585,0.030828742,0.003699449,0.007398898,0.0012331497,0.0012331497,0.34901398,0.22966206,0.17541118,0.164561,0.2368955,0.26944605,0.37613943,0.7052614,0.21568584,0.2194369,0.21005926,0.3413463,0.418243,0.53265023,0.513895,0.14816679,Blue
0.071230985,0.9951986,0.06580386,0.0,0.0,0.0,0.004070342,0.0,0.0,0.0,0.0,0.010175855,0.0074622934,0.0,0.0,0.0,0.10036923,0.34368858,0.5535515,0.45926526,0.42885035,0.2889417,0.17336504,0.2387571,0.10232336,0.10232336,0.19939937,0.2899162,0.1797218,0.21382958,0.32402396,0.8198987,Gold
0.34619576,0.9378565,0.0121937245,0.00053016195,0.0,0.0037111337,0.0031809718,0.0,0.0,0.0,0.0,0.0047714575,0.01908583,0.0,0.0,0.0037111337,0.0699556,0.025938595,0.03537081,0.13126501,0.15170148,0.37414458,0.3576382,0.827677,0.09085163,0.025129175,0.05605739,0.12371285,0.09471766,0.10116103,0.1636618,0.96264064,Orange
0.05241382,0.38247922,0.9221999,0.0,0.0028331794,0.006374654,0.00070829486,0.0,0.0,0.0,0.00070829486,0.0028331794,0.021248845,0.00070829486,0.0,0.0,0.07134574,0.021311063,0.039842423,0.16863537,0.17604792,0.15566343,0.27611727,0.9126695,0.061696846,0.030358765,0.15864903,0.14395931,0.12143506,0.15571108,0.37703627,0.87648696,Yellow
0.1760083,0.89481145,0.39263391,0.10462032,0.020924063,0.0,0.020924063,0.0,0.0,0.0012308273,0.0135391,0.029539855,0.0061541367,0.0,0.03323234,0.012308273,0.97555614,0.18733135,0.07779881,0.044017747,0.0358284,0.053230766,0.028662719,0.016378697,0.060725376,0.018892338,0.12819801,0.19162229,0.13629472,0.13629472,0.29283124,0.9054828,White
0.06993308,0.9790631,0.18907832,0.0,0.0,0.001295057,0.007770342,0.0,0.0,0.0,0.0,0.005180228,0.026548669,0.0,0.0006475285,0.0,0.19100352,0.31141877,0.42214546,0.45259526,0.4581316,0.29757795,0.25743952,0.34463677,0.116762966,0.15486456,0.22738051,0.24212952,0.24212952,0.25564945,0.49409172,0.6956615,Gold
0.488889,0.19033083,0.009703141,0.0,0.0,0.0,0.006717559,0.0,0.0,0.0,0.0,0.00074639544,0.02463105,0.0,0.0,0.8508908,0.07999087,0.024785904,0.2039204,0.21068019,0.6286606,0.32672328,0.4799452,0.41798046,0.1345953,0.05140793,0.11122807,0.1719829,0.14113814,0.12244435,0.3542474,0.8814123,Red
0.04231758,0.13870762,0.9891735,0.0,0.0,0.0023509767,0.0029387209,0.0,0.0,0.0,0.0,0.0011754883,0.021746535,0.004114209,0.0,0.0,0.05520809,0.012001759,0.020002931,0.0648095,0.09361372,0.14882182,0.31364596,0.9289361,0.050425515,0.0104328655,0.12519439,0.17475049,0.11302271,0.12171677,0.257344,0.9259168,Yellow
